Itérations;Améliorations;Temps (s);f(x) initial;f(x) final;Gain (%);Route ID;Clients;Véhicules;Véh. utilisés;Distance (km);Violations
8291;501;23,16;15714,51;25271,28;-60,81;2604001;115;7;5;1155,21;0
8291;578;25,32;11006,53;25495,13;-131,64;2922001;119;8;5;1891,85;0
8291;337;16,48;10783,56;25282,88;-134,46;2939484;78;8;5;1175,03;0
8291;396;25,38;30947,93;25275,81;18,33;2946091;107;8;5;1029,14;0
8291;338;29,89;26279,88;30277,65;-15,21;2958047;110;8;6;1062,09;0
8291;666;33,73;21012,1;35562,37;-69,25;2970877;129;8;7;2275,99;0
8291;567;30,75;25913,99;25311,16;2,33;2990001;124;8;5;1166,95;0
8291;444;23,1;15909,29;25277,87;-58,89;3005971;94;6;5;1219,01;0
8291;415;23,9;31449,66;35453,23;-12,73;3016355;101;7;7;1400,35;0
8291;354;21,73;10567,79;30214,91;-185,91;3027038;91;7;6;1090,29;0
8291;383;20,96;10448,03;20364,23;-94,91;3044702;90;7;4;1205,94;0
