cycle,state,action,q_value
1,1,intra_route_swap,0.0
1,1,inter_route_swap,0.0
1,1,intra_route_shift,0.0
1,1,inter_route_shift,0.0
1,1,two_intra_route_swap,0.0
1,1,two_intra_route_shift,-30.804641087185093
1,1,eliminate_smallest_route,-36.153346915517254
1,1,eliminate_random_route,0.0
1,2,intra_route_swap,0.0
1,2,inter_route_swap,0.0
1,2,intra_route_shift,0.0
1,2,inter_route_shift,0.0
1,2,two_intra_route_swap,0.0
1,2,two_intra_route_shift,0.0
1,2,eliminate_smallest_route,-123.80212493518707
1,2,eliminate_random_route,-112.05770306736923
1,3,intra_route_swap,-759.533000605994
1,3,inter_route_swap,-887.4108161720881
1,3,intra_route_shift,-296.05456730928256
1,3,inter_route_shift,-348.20050226588125
1,3,two_intra_route_swap,-264.7569377120272
1,3,two_intra_route_shift,-279.56127491772645
1,3,eliminate_smallest_route,-315.85101907229375
1,3,eliminate_random_route,-515.2881529838654
1,4,intra_route_swap,-657.2490255076458
1,4,inter_route_swap,-478.6068772516822
1,4,intra_route_shift,-480.3138715613701
1,4,inter_route_shift,-564.7320785567707
1,4,two_intra_route_swap,-761.869209693301
1,4,two_intra_route_shift,-492.2696748215873
1,4,eliminate_smallest_route,-352.38395633942287
1,4,eliminate_random_route,-909.8626235564079
2,1,intra_route_swap,0.0
2,1,inter_route_swap,0.0
2,1,intra_route_shift,-28.426591716506437
2,1,inter_route_shift,-89.41053070725457
2,1,two_intra_route_swap,0.0
2,1,two_intra_route_shift,-30.804641087185093
2,1,eliminate_smallest_route,-36.153346915517254
2,1,eliminate_random_route,0.0
2,2,intra_route_swap,-230.00302804834098
2,2,inter_route_swap,0.0
2,2,intra_route_shift,-29.425066369829267
2,2,inter_route_shift,0.0
2,2,two_intra_route_swap,0.0
2,2,two_intra_route_shift,-260.3578826210909
2,2,eliminate_smallest_route,-123.80212493518707
2,2,eliminate_random_route,-112.05770306736923
2,3,intra_route_swap,-1099.2480952087747
2,3,inter_route_swap,-1180.581092002205
2,3,intra_route_shift,-567.887432813875
2,3,inter_route_shift,-576.0765608924452
2,3,two_intra_route_swap,-618.7254035450854
2,3,two_intra_route_shift,-592.8678128833993
2,3,eliminate_smallest_route,-594.2192651026555
2,3,eliminate_random_route,-598.4078923930314
2,4,intra_route_swap,-1117.6453501100082
2,4,inter_route_swap,-944.2866920725928
2,4,intra_route_shift,-968.6064034104502
2,4,inter_route_shift,-1066.0329965359708
2,4,two_intra_route_swap,-956.726940977667
2,4,two_intra_route_shift,-1079.3233867625142
2,4,eliminate_smallest_route,-1257.7742301770859
2,4,eliminate_random_route,-1224.7265957373934
3,1,intra_route_swap,-169.6767651347758
3,1,inter_route_swap,0.0
3,1,intra_route_shift,-28.426591716506437
3,1,inter_route_shift,-89.41053070725457
3,1,two_intra_route_swap,0.0
3,1,two_intra_route_shift,-282.1616178257026
3,1,eliminate_smallest_route,-36.153346915517254
3,1,eliminate_random_route,-205.92893803575245
